ID;NAME;BRAND ID;BRAND;GROUP ID;GROUP NAME;SUBGROUP ID;SUBGROUP NAME;SPECIAL;TRAFFICLIGHT VALUE;PYRAMID VALUE;CARBS;SUGAR;ENERGY;PROTEINS;SATURATED FAT;FAT;SALT;SODIUM;FIBER
1435;Chopped de pavo cuida-t+;13;Campofrío;6;Carnes;9;Charcutería;No;3;5;4;1.1;176;13;4.5;12;1.8;0.72;NaN
1466;Chopped de pavo cuida-t+;13;Campofrío;6;Carnes;9;Charcutería;No;3;5;4;1.1;176;13;4.5;12;1.8;0.72;NaN
1500;Chopped de pavo gourmet oliving;83;Argal;6;Carnes;9;Charcutería;No;3;5;3.4;2.7;132;13;1.8;7.4;2.8;1.12;NaN
1447;Chopped de pavo pavofrío;13;Campofrío;6;Carnes;9;Charcutería;No;3;5;4;1.1;176;13;4.5;12;1.8;0.72;NaN
1467;Chopped de vacuno;13;Campofrío;6;Carnes;9;Charcutería;No;3;5;6;0.8;180;12;3.8;12;2.2;0.88;NaN
1431;Chopped extra bienstar;20;El Pozo;6;Carnes;9;Charcutería;No;3;5;3.5;NaN;94;13.5;NaN;2.8;2;0.8;NaN
1512;Chopped lata;20;El Pozo;6;Carnes;9;Charcutería;No;3;5;4;NaN;194;14;NaN;13.5;1.8;0.72;NaN
1513;Chopped lata extra;20;El Pozo;6;Carnes;9;Charcutería;No;3;5;4;NaN;194;14;NaN;13.5;1.8;0.72;NaN
1419;Chorizo al corte;13;Campofrío;6;Carnes;9;Charcutería;No;3;5;3;NaN;204;24;NaN;20;NaN;NaN;NaN
1548;Chorizo casero fresco;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;0.9;0.7;344.8;15.2;11.5;31;1.7;0.68;NaN
1549;Chorizo casero pincho dulce;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;0.9;0.7;344.8;15.2;11.5;31;1.7;0.68;NaN
1564;Chorizo cular ibérico extra;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1;0.5;461.6;32.2;14.7;36.4;2.9;1.16;NaN
1553;Chorizo curado;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1.6;1.2;472.3;22.5;16.5;41.7;3.4;1.36;NaN
